コード,名称,フリガナ,単位,入数,規格・型番,色,サイズ,数量小数桁,単価小数桁,在庫管理,課税区分,発注ロット,リードタイム,在庫適正数,在庫評価方法,主たる仕入先,標準品質,主たる倉庫,倉庫名,発注連動,分類１,分類１名,分類２,分類２名,分類３,分類３名,分類４,分類４名,分類５,数単位,メモ欄,税抜上代,税抜売上単価１,税抜売上単価２,税抜売上単価３,税抜売上単価４,税抜売上原価,税抜仕入単価,税抜標準原価,税込上代,税込売上単価１,税込売上単価２,税込売上単価３,税込売上単価４,税込売上原価,税込仕入単価,税込標準原価,参照表示,更新日
J/039428PX,整経賃: 39428PX,ｾｲｹｲﾁﾝ: 39428PX,反,0.02,P100,50M,160,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,30,,X,,,,,,,2450,2042,1750,1531,1361,1225,1225,1225,,,,,,,,,表示する,
J/076410CB,整経賃: 76410CB,ｾｲｹｲﾁﾝ: 76410CB,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,20,,B,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
J/076410CC,整経賃: 76410CC,ｾｲｹｲﾁﾝ: 76410CC,反,0.02,TA63/P15/RA11/R11,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,20,,B,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,表示する,
J/076410CX,整経賃: 76410CX,ｾｲｹｲﾁﾝ: 76410CX,反,0.02,TA64/P13/R12/RA11,50,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,50,,E,,,,,,,3670,3058,2621,2294,2039,1835,1835,1835,,,,,,,,,表示する,
J/078019BA,整経賃: 78019BA,ｾｲｹｲﾁﾝ: 78019BA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,20,,B,,,,,,,3000,2500,2143,1875,1667,1500,1500,1500,,,,,,,,,表示する,
J/078019VA,整経賃: 78019VA,ｾｲｹｲﾁﾝ: 78019VA,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,50,,E,,,,,,,3000,2500,2143,1875,1667,1500,1500,1500,,,,,,,,,表示する,
J/078019VB,整経賃: 78019VB,ｾｲｹｲﾁﾝ: 78019VB,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,50,,E,,,,,,,3000,2500,2143,1875,1667,1500,1500,1500,,,,,,,,,表示する,
J/078019VX,整経賃: 78019VX,ｾｲｹｲﾁﾝ: 78019VX,反,0.02,TA64/P36,50M,148,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,50,,E,,,,,,,3000,2500,2143,1875,1667,1500,1500,1500,,,,,,,,,表示する,
J/079664CB,整経賃: 79664CB,ｾｲｹｲﾁﾝ: 79664CB,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,50,,E,,,,,,,2400,2000,1714,1500,1333,1200,1200,1200,,,,,,,,,表示する,
J/079664FX,整経賃: 79664FX,ｾｲｹｲﾁﾝ: 79664FX,反,0.02,TA55/P45,50M,130,1,1,在庫管理を行わない,課税,0,0,0,月別総平均,SFN,A,HARA,,非対象,J,準備,50,,E,,,,,,,2400,2000,1714,1500,1333,1200,1200,1200,,,,,,,,,表示する,
